#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Dec 10 11:27:33 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cat_pad_map.ncd
#OUTPUT FILE:      cat_pad_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P18,ram2addr<5>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R1,input<8>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R2,flash_addr<3>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R3,flash_addr<2>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R4,input<7>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R5,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,
R6,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,
R7,input<1>,IBUF,IP_L08N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
R8,,DIFFM,IO_L10P_2,UNUSED,,2,,,,,,,,,
R9,ram2oe,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R10,ram2data<9>,IOB,IO_L15P_2/D2/GCLK2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R11,ram2data<8>,IOB,IO,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R12,ram2data<7>,IOB,IO_L20N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R13,ram2data<5>,IOB,IO_L22N_2/A22,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R14,ram2data<6>,IOB,IO_L24N_2/A20,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R15,ram2addr<6>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R16,ram2addr<7>,IOB,IO_L03N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,ram2addr<8>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T1,flash_addr<1>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,input<0>,IBUF,IP_L08P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
T8,,DIFFS,IO_L10N_2,UNUSED,,2,,,,,,,,,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,ram2data<4>,IOB,IO_L20P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,ram2data<3>,IOB,IO_L24P_2/A21,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T15,ram2data<2>,IOB,IO/VREF_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T16,ram2data<1>,IOB,IO_L26P_2/VS0/A17,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T17,ram2addr<9>,IOB,IO_L01N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T18,ram2addr<10>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U1,input<6>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,wrn,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U6,ps2_clk,IBUF,IO,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,input<2>,IBUF,IP_L11P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U9,manual_clk,IBUF,IO_L13P_2/D4/GCLK14,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U10,rst,IBUF,IP_L14P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,ram2data<0>,IOB,IO,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,ram2addr<17>,IOB,IO_L25N_2/VS1/A18,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U16,ram2addr<16>,IOB,IO_L26N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U17,,,GND,,,,,,,,,,,,
U18,ram2addr<11>,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V1,,,GND,,,,,,,,,,,,
V2,input<5>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V3,input<4>,IBUF,IP_L02N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V4,input<3>,IBUF,IP_L02P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V5,,DIFFM,IO_L06P_2,UNUSED,,2,,,,,,,,,
V6,ps2_data,IBUF,IO_L06N_2/VREF_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
V7,,IOB,IO,UNUSED,,2,,,,,,,,,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,ram2addr<15>,IOB,IO_L13N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
V12,ram2addr<14>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V13,ram2addr<13>,IOB,IO_L19N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V14,,DIFFMI,IP_L23P_2,UNUSED,,2,,,,,,,,,
V15,ram2addr<12>,IOB,IO_L25P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V16,,IBUF,IP,UNUSED,,2,,,,,,,,,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
